post_id,href,post_title,date,post,raw_company,raw_title,raw_yoe,raw_salary,raw_salary_total,raw_location,company,title,location,yoe,salary,salary_total
1211725,https://leetcode.com/discuss/compensation/1211725/DE-Shaw-or-QA-analyst-or-Hyderabad,DE Shaw |  QA analyst | Hyderabad,2021/05/16,"Education: B.tech in Computer Science
Years of Experience: 5 Months Internship
Prior Experience: 0
Date of the Offer: 4/2021
Company: DE shaw
Title/Level: QA analyst
Location: Hyderabad
Salary: 18 LPA base
Relocation/Signing Bonus: 2.5LPA
Stock bonus: 10LPA
Bonus: 2 LPA(Performance based)
Total comp (Salary + Bonus + Stock): 35LPA
Benefits: N/A
Other details:
-> Applied off campus on careers portal
-> 1 round of coding followed by interviews, coding challenge was tough.",de shaw,qa analyst,5 months internship,18 lpa base,: 35lpa,hyderabad,d.e. shaw,qa analyst,hyderabad,0.4166666666666667,1800000.0,3500000.0
1055875,https://leetcode.com/discuss/compensation/1055875/Microsoft-L63-Hyderabad,Microsoft L63 Hyderabad,2021/02/08,"Education: Btech in Computer Science from NIT
Years of Experience: 6.8 years
Prior Experience: Working in a reputed MNC
Date of the Offer: Jan 2021
Company: Microsoft
Title/Level: Senior Software Dev(L63)
Location: Hyderabad
Salary: Rs 36 lakhs basic
Relocation: Rs 1.4 lakhs
Signing Bonus: Rs 4+3 lakhs for 2 years spread
Stock bonus: $135K stock grant vested over 4 years
Bonus: Performance-based bonus up to 30% of salary every year
Total comp (Salary + Bonus + Stock): ~Rs 70 lakhs (including average 15% performance bonus)
Benefits: Standard Microsoft benefits
Other details: Negotiated once but had no competing offers so no raise",microsoft,senior software dev,6.8 years,rs 36 lakhs basic,: ~rs 70 lakhs (including average 15% performance bonus),hyderabad,microsoft,n/a,hyderabad,6.8,3600000.0,7000000.0
410624,https://leetcode.com/discuss/compensation/410624/Telstra-or-Software-Engineer-or-Bengaluru,Telstra | Software Engineer | Bengaluru,2019/10/22,"Education: BE
Years of Experience: 0
Date of the Offer: Fall 2019
Company: Telstra
Title/Level: Software Engineer
Location: Bengaluru/ Pune/ Hyderabad
Salary: Rs. 10,00,000
Relocation/Signing Bonus: No.
Stock bonus: No.
Bonus: No.
Total comp (Salary + Bonus + Stock): Rs.10,00,000",telstra,software engineer,0,"rs. 10,00,000",": rs.10,00,000",bengaluru,telstra,sde 1,bangalore,0.0,1000000.0,1000000.0
1587246,https://leetcode.com/discuss/compensation/1587246/Mindtickle-or-SDE-2-or-Pune,Mindtickle | SDE 2 | Pune,2021/11/20,"Education: B.Tech. from a tier 1
Years of Experience: 3 years
Prior Experience: Product based startups
Date of the Offer: 2021
Company: Mindtickle
Title: SDE2
Location: Bangalore
Salary: 32L
Signin bonus: 3L first year
Stock bonus: 30L over 4 years
Relocation Bonus: NA
Total comp (Salary + Bonus + Stock) ~ Rs. 42,50,000
Benefits: Standard Mindtickle benefits",mindtickle,sde2,3 years,32l,"~ rs. 42,50,000",bangalore,mindtickle,sde 2,bangalore,3.0,3200000.0,4250000.0
929404,https://leetcode.com/discuss/compensation/929404/Rubrik-or-Software-Engineer-or-Bangalore,Rubrik | Software Engineer | Bangalore,2020/11/09,"Education: B.Tech from Tier 1 college
Years of Experience: 2.5
Date of the Offer: October 2020
Company: Rubrik
Title/Level: Software Engineer G6 (Equivalent to SDE2 elsewhere)
Location: Bangalore
Salary: Rs. 35,50,000
Relocation/Signing Bonus: Nil
Stock bonus: $130,000 over 4 years (RSUs of a private company)
Bonus: 15% annuallly, based on performance
Total comp (Salary + Bonus + Stock): Rs. 63,00,000 (Rs. 40,25,000 excluding the illiquid RSU)
Benefits: Fully catered meals, Reimbursement upto Rs. 3300 per month on Broadband, Standard Benefits Group Insurance and etc.
Previous Compensation: Rs. 20,00,000",rubrik,software engineer g6,2.5,"rs. 35,50,000",": rs. 63,00,000 (rs. 40,25,000 excluding the illiquid rsu)",bangalore,rubrik,sde g6,bangalore,2.5,3550000.0,4025000.0
1674376,https://leetcode.com/discuss/compensation/1674376/PhonePe-or-SDE-1-or-Bengaluru,PhonePe | SDE 1 | Bengaluru,2022/01/08,"Education: BTech in Computer Science from Tier 1 College (not IIT)
Years of Experience: 0 (2022 Grad)
Company: PhonePe
Title/Level: SDE 1
Location: Bengaluru
Salary: ₹17,50,000
Signing Bonus: ₹2,50,000 (2.5L for first year, 2.5L for second year)
Stock bonus: ~₹8,30,000 stock grant vested over 4 years
Total comp (Salary + Bonus + Stock): ~₹22,07,500
Benefits: Standard Insurances, Gratuity
Other Details: This is a PPO from internship",phonepe,sde 1,0,"₹17,50,000",": ~₹22,07,500",bengaluru,phonepe,sde 1,bangalore,0.0,1750000.0,2207500.0
878139,https://leetcode.com/discuss/compensation/878139/DE-Shaw-or-Project-Lead-or-Hyderabad,DE Shaw | Project Lead | Hyderabad,2020/10/04,"Education: B.Tech from NIT.
Years of Experience: 5
Prior Experience: Senior Dev
Date of the Offer: Aug 2020
Company: DE Shaw
Title/Level: Project Leader
Location: Hyderabad, India
Salary: 40L (Base)
Relocation: 1L
Signing Bonus: 1L
Stock bonus: NA
Bonus: 6L Fixed + 2L Variable
Total comp (Salary + Bonus + Stock): 47L
Other Benefits: Usual company benefits",de shaw,project leader,5,40l,: 47l,"hyderabad, india",d.e. shaw,project lead,hyderabad,5.0,4000000.0,4700000.0
839617,https://leetcode.com/discuss/compensation/839617/PayU-or-SDE-or-Bangalore,PayU | SDE | Bangalore,2020/09/10,"Education: B.E. (Tier 1)
Years of Experience: 0
Prior Experience: Interned at major e-commerce
Date of the Offer: August, 2020
Company: PayU India
Title/Level: FTE
Location: Bangalore/Gurgaon/Mumbai
Salary: 15 Lacs base
Relocation/Signing Bonus: 2 Lacs
Target Bonus: 1.5 Lacs
Total comp (Salary + Bonuses): 18.5 Lacs
Benefits: standard perks",payu india,fte,0,15 lacs base,: 18.5 lacs,bangalore,payu,fte,bangalore,0.0,1500000.0,1850000.0
1168262,https://leetcode.com/discuss/compensation/1168262/Microsoft-or-L63-or-Banglore,Microsoft | L63 | Banglore,2021/04/20,"Education: B.Tech from NIT
Years of Experience: 6
Prior Experience: FAANG
Date of the Offer: April 2021
Company: Microsoft
Title/Level: SSE, Level 63
Location: Banglore, India
Salary: Rs. 37 Lacs
Signing Bonus: 5 Lacs in 1st month + 2 lacs in 13th month
Stock bonus: 92000 USD over 4 years
Bonus: Performance-based bonus up to 30% of base salary / year
Total comp (Salary + Bonus + Stock): ~ Rs. 70 Lacs For first year
Benefits: Standard MS benefits
Other details: Not negotiated till now, waiting for counter offer",microsoft,sse,6,rs. 37 lacs,: ~ rs. 70 lacs for first year,"banglore, india",microsoft,sde 2,bangalore,6.0,3700000.0,7000000.0
1568095,https://leetcode.com/discuss/compensation/1568095/Coinbase-or-SDE-2-or-Bangalore,Coinbase | SDE 2 | Bangalore,2021/11/09,"Education: B.Tech in CSE tier 1 college
Years of Experience: 3
Prior Experience: Salesforce
Date of the Offer: Mid 2021
Company: Coinbase
Title/Level: Software Engineer 2
Location: Bangalore/Remote
Base Salary: 45, 00,000 INR
Relocation: Not applicable
Signing Bonus: 5 Lakhs
Stock bonus: $32000 annual equity (25% vesting each quarter)
Bonus: 3 Lakhs
Allowances : around 3 Lakhs
Total comp for First Year (Salary + Bonus + Stock): ~ 67,00,000 INR
Other details : Dream offer",coinbase,software engineer 2,3,"45, 00,000 inr","for first year (salary + bonus + stock): ~ 67,00,000 inr",bangalore,coinbase,sde 2,bangalore,3.0,4500000.0,6700000.0
1355629,https://leetcode.com/discuss/compensation/1355629/Amazon-or-L4-or-India,Amazon | L4 | India,2021/07/23,"Education: B.Tech in CS
Prior Experience: 10 months
Prior Pay: 10L
Company: Amazon
Level: L4 - SDE1
Location: India
Base: INR 14,00,000
Relocation: 1,50,000
Signing Bonus: INR 7,00,000 (4,50,000+3,50,000)
Stock bonus: 7 RSUs over 4 years (5+15+40+40)
Total comp (Salary + Signing +Relocation ): INR 20,00,000 for 1st year(not including stocks).",amazon,,,"inr 14,00,000",": inr 20,00,000 for 1st year(not including stocks).",india,amazon,n/a,india,-1.0,1400000.0,2000000.0
1368027,https://leetcode.com/discuss/compensation/1368027/Fidelity-Investments-or-SDESummer-Intern-or-Bangalore,Fidelity Investments | SDE/Summer Intern | Bangalore,2021/07/28,"Education: B.Tech.
Years of Experience: 4+
Prior Experience: Startup (2017 launched) and other mid sized startup
Company: Ola cabs
Title/Level: SDE 2
Location: Bangalore
Salary: Rs. 38,00,000/-
Relocation/Signing Bonus: Rs 2,00,000/-
Stock bonus: N/A.
Bonus: N/A.
Total comp (Salary + Bonus + Stock): Rs. 40,00,000/-
Benefits: Ola Standrad Benifits.
Other details: No Negotiation",ola cabs,sde 2,4+,"rs. 38,00,000/-",": rs. 40,00,000/-",bangalore,ola,sde 2,bangalore,4.0,3800000.0,4000000.0
1455857,https://leetcode.com/discuss/compensation/1455857/Google-or-L4-or-India,Google | L4 | India,2021/09/10,"Education: B.Tech
Years of Experience: 3
Prior Experience: Unicorn
Date of the Offer: Aug 2021
Company: Google
Title/Level: L4
Location: Bangalore
Salary: 33L (Incl. PF)
Signing Bonus: 5L
Stock bonus: 21L for first year (90K over 4 years)
Bonus: 5L
Total comp (Salary + Bonus + Stock): 59L for first year
Other details : Negotiated once, original offer did not have signing bonus. Base pay was non negotiable.
Current TC : 39.6L ( Base 36L , Bonus 3.6L) + 8L ESOP/yr (for 4 yrs), had joined 2 months back",google,l4,3,33l,: 59l for first year,bangalore,google,sde 2,bangalore,3.0,3300000.0,5900000.0
1146404,https://leetcode.com/discuss/compensation/1146404/Turvo-Inc-or-Associate-Software-Engineer-or-Feb-2021-or-Compensation,Turvo Inc | Associate Software Engineer | Feb 2021 | Compensation,2021/04/07,"Education: Btech in KIIT (not from IIT/NIT/IIITs)
Years of Experience: 1.5 years
Date of the Offer: Feb 2021
Company: Turvo Inc
Level: Associate Software Engineer
Location: Hyderabad
Salary: INR 14,00,000
Performance Bonus: INR 1,40,000
Long Term Bonus: INR 2,00,000(1st year anniversary : 1,00,000 , 2nd year Anniversary : 1,00,000)
Relocation Reimbursement: 50,000
Benefits: ~56,000(including Gratuity, Insurance etc)
Equity: 500 units over 4 years (Valuation pending as company isn't registered)
Total comp (Salary + Bonus + Stock): INR 16,96,000
Tech Stack : Java, Spring, Redis, Elastic Search, MySql, MongoDB",turvo inc,,1.5 years,"inr 14,00,000",": inr 16,96,000",hyderabad,turvo,n/a,hyderabad,1.5,1400000.0,1696000.0
